,numberFire_FP,numberFire_CI,Ranks_Ovr.,Ranks_Pos.,Passing_C/A,Passing_Yds,Passing_TDs,Passing_Ints,Rushing_Att,Rushing_Yds,Rushing_TDs,Receiving_Rec,Receiving_Tgt,Receiving_Yds,Receiving_TDs
"Patrick Mahomes  P. Mahomes  (QB, KC)",398.1,365.41-430.79,#1,#1,430.56/648.35,5212.72,39.33,9.28,65.21,305.16,3.8,0.0,0.0,0.0,0.0
"Josh Allen  J. Allen  (QB, BUF)",382.96,350.42-415.5,#2,#2,418.74/630.42,4742.3,34.98,16.34,127.47,590.32,6.19,0.0,0.0,0.0,0.0
"Kyler Murray  K. Murray  (QB, ARI)",382.88,350.35-415.41,#3,#3,407.15/606.54,4494.52,27.3,9.23,135.85,656.2,8.74,0.0,0.0,0.0,0.0
"Lamar Jackson  L. Jackson  (QB, BAL)",368.05,335.68-400.42,#4,#4,317.45/489.88,3551.9,29.9,9.83,166.33,875.81,7.82,0.0,0.0,0.0,0.0
"Dak Prescott  D. Prescott  (QB, DAL)",365.75,333.4-398.1,#5,#5,424.66/627.78,5162.76,29.77,6.27,72.44,356.47,3.65,0.0,0.0,0.0,0.0
"Russell Wilson  R. Wilson  (QB, SEA)",348.35,316.2-380.5,#6,#6,400.87/596.08,4403.69,35.89,10.84,76.03,418.92,2.05,0.0,0.0,0.0,0.0
"Justin Herbert  J. Herbert  (QB, LAC)",346.39,314.26-378.52,#7,#7,411.08/621.18,4713.87,34.12,11.2,67.9,306.59,3.04,0.0,0.0,0.0,0.0
"Aaron Rodgers  A. Rodgers  (QB, GB)",340.93,308.86-373,#8,#8,396.04/588.97,4570.54,35.1,5.65,41.79,197.35,1.69,0.0,0.0,0.0,0.0
"Jalen Hurts  J. Hurts  (QB, PHI)",337.79,305.76-369.82,#9,#9,379.04/594.30,4251.07,25.99,12.47,122.66,595.87,6.75,0.0,0.0,0.0,0.0
"Christian McCaffrey  C. McCaffrey  (RB, CAR)",335.45,295.09-375.81,#10,#1,0.00/0.00,0.0,0.0,0.0,351.43,1615.57,12.78,91.81,125.84,692.73,4.57
"Tom Brady  T. Brady  (QB, TB)",334.14,302.16-366.12,#11,#10,418.67/637.01,4748.38,38.82,10.18,21.23,52.47,1.09,0.0,0.0,0.0,0.0
"Matthew Stafford  M. Stafford  (QB, LA)",314.41,282.68-346.14,#12,#11,403.10/604.84,4567.02,33.54,11.03,32.64,131.08,1.66,0.0,0.0,0.0,0.0
"Dalvin Cook  D. Cook  (RB, MIN)",311.57,273.1-350.04,#13,#2,0.00/0.00,0.0,0.0,0.0,340.55,1600.27,13.27,66.16,90.65,574.68,3.37
"Ryan Tannehill  R. Tannehill  (QB, TEN)",307.65,276-339.3,#14,#12,378.81/577.95,4368.06,32.08,12.84,46.97,208.99,2.17,0.0,0.0,0.0,0.0
"Derrick Henry  D. Henry  (RB, TEN)",304.21,266.31-342.11,#15,#3,0.00/0.00,0.0,0.0,0.0,366.88,1770.65,16.15,30.9,42.94,238.05,1.63
"Joe Burrow  J. Burrow  (QB, CIN)",300.39,268.84-331.94,#16,#13,394.83/598.37,4554.59,27.14,9.22,42.11,188.21,2.37,0.0,0.0,0.0,0.0
